Start String,Matched Vocab,Attempts
valquiri,,nan
va,,nan
v,vittata,9
lacte,lactea,4
lac,,nan
lact,lacta,2
lac,lacta,2
la,la,1
lacteus,lacteus,1
lacteus,lacteus,1
lacteus,lacteus,1
lacte,,nan
l,lineata,2
consuelo,consuelo,1
consue,,nan
con,cona,2
c,cha,3
consuel,,nan
consuelo,consuelo,1
consuelo,consuelo,1
co,,nan
cons,,nan
con,cona,14
schubo,,nan
sc,,nan
schub,,nan
schubotzi,schubotzi,1
sch,,nan
sc,,nan
sc,,nan
schubotzi,schubotzi,1
schubo,,nan
sc,scotti,18
dep,depressum,15
depunct,,nan
depunc,depuncta,14
d,dong,3
de,,nan
depunct,depuncta,19
de,,nan
dep,depressa,20
de,,nan
depunct,,nan
yacuiens,yacuiensis,1
yacuiensis,yacuiensis,1
yacuien,yacuiensis,1
yacuiensi,yacuiensis,1
y,yi,2
yacuie,yacuiensis,1
yacui,yacui,1
ya,,nan
yacu,,nan
yac,,nan
kopo,,nan
koponeni,koponeni,1
kopon,,nan
kopone,,nan
kopon,,nan
kopon,,nan
kopo,,nan
kop,,nan
kopone,,nan
k,kai,6
per,perus,1
per,,nan
pe,,nan
p,patens,3
perc,,nan
pe,,nan
pe,,nan
percy,,nan
perc,,nan
per,perus,12
dunstani,dunstani,1
dunstani,dunstani,8
dunsta,,nan
dun,,nan
dunstani,dunstani,1
dun,,nan
dunst,dunstani,6
dun,,nan
d,dongi,18
dun,,nan
fuscoma,,nan
fusco,fuscosa,1
fuscomaculatum,fuscomaculatum,1
fuscomacul,,nan
fuscom,,nan
fuscomaculatu,,nan
fuscomac,fuscomaculatum,5
fuscomacu,,nan
fuscomacula,,nan
fuscomaculat,,nan
st,,nan
str,,nan
strab,,nan
stra,,nan
stra,,nan
s,si,2
strab,,nan
straba,straba,2
strab,,nan
str,,nan
palik,,nan
palikea,palikea,6
palikea,palikea,5
p,poi,15
pal,pala,5
pa,pala,13
pal,palma,7
pa,pala,11
palike,palikea,11
pal,pala,5
xiq,,nan
xiquanens,xiquanensis,1
xiqua,,nan
xiqu,xiquanensis,18
xi,,nan
xiquane,xiquanensis,1
xiquanen,xiquanensis,1
xiquanensis,xiquanensis,1
x,xianensis,1
xiquanensi,xiquanensis,1
zang,,nan
zanghe,,nan
zan,,nan
zan,,nan
zan,,nan
zang,,nan
zangherii,zangherii,1
zang,,nan
zang,,nan
zang,,nan
trima,,nan
trim,,nan
tr,,nan
tri,,nan
tri,,nan
t,tibialis,18
t,tibialis,1
trima,,nan
tr,trux,5
t,,nan
coe,,nan
c,cheni,1
c,cas,1
coen,,nan
c,cha,5
coeno,,nan
coe,,nan
coeno,,nan
coenosa,coenosa,1
coeno,,nan
simoni,simoni,1
si,si,1
simonis,simonis,1
simonis,simonis,1
simoni,simoni,1
simoni,simoni,1
simo,,nan
simon,simoni,2
si,si,1
sim,sima,1
b,bergensis,1
bimucronatu,bimucronatus,1
bimucronatus,bimucronatus,1
bi,bina,11
bimucr,,nan
bimu,,nan
bimucrona,,nan
bimucron,,nan
bimuc,,nan
bimucro,,nan
de,dea,4
dem,,nan
demersa,demersa,11
demersa,demersa,8
demer,,nan
dem,,nan
d,dentatus,5
dem,,nan
deme,,nan
de,,nan
altim,altima,5
alt,alta,12
altimontan,altimontanus,2
altimo,,nan
altimon,altimontana,5
altimont,altimontanus,1
al,ales,1
altimontanu,altimontanus,1
altimonta,altimontana,1
a,anta,3
ha,havia,12
haplotar,haplotarsa,3
h,hilli,16
haplota,,nan
haplotars,haplotarsa,3
haplo,,nan
haplot,,nan
hap,,nan
haplotarsa,haplotarsa,1
hapl,,nan
akha,,nan
a,ata,3
akh,,nan
akh,,nan
akhanii,akhanii,1
a,an,1
akhan,akhanii,10
a,ana,1
akhani,,nan
a,ana,7
calcitr,,nan
calcitrans,calcitrans,1
calci,,nan
c,cha,15
calcitra,,nan
ca,,nan
calcitran,calcitrans,2
calc,,nan
calcit,,nan
cal,cala,1
she,,nan
s,si,3
she,,nan
s,shanensis,5
she,,nan
she,,nan
sheba,sheba,1
s,spinosus,5
sh,,nan
sh,shanensis,8
alp,alpha,18
alpinu,alpinus,1
alp,,nan
alpinus,alpinus,1
alpin,alpina,1
alpinus,alpinus,1
a,ata,3
alpinus,alpinus,1
alp,,nan
alpinus,alpinus,1
vassununga,vassununga,1
vass,,nan
vassunung,vassununga,2
vassunu,vassununga,15
vassu,,nan
vassunun,,nan
vas,,nan
v,vittata,3
va,,nan
vassun,vassununga,8
p,purus,5
po,poi,3
pougnet,pougneti,1
pou,,nan
pougneti,pougneti,1
pougne,,nan
pougne,pougneti,13
poug,,nan
p,probus,6
pougneti,pougneti,1
pe,,nan
p,peteri,2
pen,pena,18
pen,,nan
pentodon,pentodon,1
pentodo,,nan
pentod,,nan
pentodon,pentodon,1
pentod,,nan
pe,,nan
flavocin,flavocincta,1
flavo,flavoides,1
flavoci,,nan
flavoc,flavocephala,15
flavocinct,flavocincta,1
flav,flavus,4
fl,,nan
f,foliatus,8
fla,,nan
flavocincta,flavocincta,1
gibber,,nan
gibb,gibba,3
g,goricus,8
gibbe,,nan
gibber,,nan
gi,,nan
gibber,,nan
gibber,gibber,10
g,guttatus,19
gi,,nan
se,seri,3
seneg,senegalensis,20
senegalensis,senegalensis,1
senegalensi,senegalensis,1
sene,,nan
sen,,nan
senegalens,senegalensis,1
s,shanensis,1
senegal,senegalensis,8
senegale,senegalensis,1
katy,,nan
katy,,nan
ka,kasanensis,11
kat,kati,16
kat,kati,16
k,kao,12
katy,,nan
katya,katyae,1
ka,,nan
kat,katanga,13
f,ferus,1
flora,flora,1
flor,,nan
flora,flora,1
flo,flora,1
fl,,nan
flor,florea,13
fl,,nan
flora,flora,1
flora,flora,1
p,ping,10
pelz,,nan
pelze,,nan
pel,,nan
pelzel,,nan
pel,,nan
pe,peri,9
pelzel,,nan
pelzelni,pelzelni,1
pelzel,,nan
pon,,nan
ponan,,nan
pon,,nan
pona,,nan
po,poya,6
ponanga,ponanga,1
ponang,ponanga,6
pona,,nan
ponan,,nan
ponan,,nan
hippore,,nan
hi,,nan
hipp,,nan
hip,,nan
hipporeg,,nan
hippo,,nan
h,hamaensis,5
hipporegia,hipporegia,1
hippor,,nan
hipporegi,hipporegia,1
j,jimi,14
jimredneri,jimredneri,1
jimr,,nan
jim,jima,1
jimredner,jimredneri,1
jimredn,,nan
jimre,,nan
jimred,,nan
ji,,nan
jimredne,jimredneri,3
sh,,nan
shan,shanensis,2
shan,shanensis,1
shangr,,nan
shangri,,nan
sha,shanensis,1
s,si,6
sha,shanensis,1
shangrila,,nan
s,scutatus,3
nelli,nelli,1
ne,,nan
nel,,nan
ne,,nan
nell,,nan
ne,,nan
n,nica,1
nell,,nan
ne,,nan
ne,,nan
v,villa,1
vega,vega,1
v,vittatus,1
ve,,nan
veg,vega,3
veg,,nan
vegas,vegas,1
veg,,nan
vega,vega,1
vegas,vegas,1
pugi,,nan
pugilis,pugilis,1
pug,,nan
pugilis,pugilis,1
pug,,nan
pu,pula,1
pugi,pugilis,12
p,punctata,3
pugilis,pugilis,1
pu,pula,4
ku,kui,10
kugitangi,,nan
k,koi,2
kug,,nan
kugitangic,kugitangica,3
kugitangica,kugitangica,1
kugitan,,nan
kugit,,nan
kugita,,nan
kugitang,,nan
se,seri,1
semili,,nan
semilimba,,nan
sem,,nan
semil,,nan
semilimbat,semilimbatus,3
semi,,nan
semilimb,semilimbatus,10
semilim,,nan
s,shanensis,10
mura,mura,1
mur,mura,2
muralico,muralicola,1
muralicol,muralicola,1
muralic,muralicola,20
m,marginata,1
murali,muralis,1
mu,mura,17
mural,,nan
muralicola,muralicola,1
sche,,nan
schen,,nan
schen,,nan
schenke,,nan
schenke,,nan
schenke,,nan
schen,,nan
sche,,nan
schenkel,schenkeli,4
s,shanensis,5
pseudovagans,pseudovagans,1
pseud,,nan
pseudova,,nan
pseudovag,,nan
pseudov,,nan
pseudovaga,,nan
pseudovagan,pseudovagans,9
pseu,,nan
pse,,nan
ps,,nan
a,ambo,1
aos,,nan
ao,,nan
aosen,,nan
a,an,19
aos,,nan
aosen,,nan
aos,,nan
aos,,nan
aosen,,nan
tigr,tigris,3
tig,,nan
tigr,tigra,5
tig,,nan
tigre,tigre,1
tig,,nan
ti,tina,5
ti,tina,4
tig,,nan
tigre,tigre,1
mene,,nan
menemer,,nan
menemere,,nan
meneme,,nan
men,mengei,3
menemerella,menemerella,1
menemerel,,nan
menemerell,menemerella,2
me,meta,7
menem,,nan
athl,,nan
athleticu,athleticus,1
ath,,nan
athletic,athleticus,8
at,ata,1
a,ana,1
athle,,nan
athleticus,athleticus,1
athlet,,nan
athleti,,nan
apot,,nan
apotheti,apothetica,5
a,anta,15
apoth,,nan
apothetic,apothetica,1
apothetica,apothetica,1
apothet,,nan
apothe,,nan
ap,apa,3
apo,apo,1
niphoco,,nan
niphocosm,niphocosmum,5
niphocosmum,niphocosmum,1
niphoc,,nan
niphocos,,nan
nipho,,nan
niphocosmu,niphocosmum,1
n,ngai,12
nip,,nan
ni,nica,10
zabalet,,nan
zabalet,,nan
z,zacus,14
zaba,zaba,1
zabaleta,zabaleta,2
zabalet,zabaleta,5
zabale,,nan
zabal,,nan
zabaleta,zabaleta,17
zabalet,zabaleta,8
bra,brassi,6
br,,nan
branta,branta,5
br,broni,3
br,,nan
b,bergi,14
bra,brassi,14
bra,,nan
branta,branta,2
bra,,nan
fu,,nan
furcu,furcula,1
furculo,furculosus,7
f,fusca,13
furculos,furculosus,1
furculosu,furculosus,2
furc,furcata,1
furcul,furcula,1
furculosus,furculosus,1
fur,fur,1
yas,,nan
yasu,,nan
yas,yasi,9
yasudai,yasudai,1
yas,yasi,19
yas,,nan
yasud,,nan
yasu,yasua,5
ya,,nan
yasudai,yasudai,1
t,toro,1
tinalandi,,nan
tinal,,nan
tinala,,nan
tinaland,,nan
tinalandia,tinalandia,1
tina,tina,1
ti,tina,6
tinalan,,nan
tin,tina,1
plan,plana,1
pla,,nan
planu,planus,1
plan,plana,1
planu,planus,1
pla,,nan
pl,pleta,9
planus,planus,1
planus,planus,1
plan,plana,17
fl,flax,1
flavifr,flavifrons,5
flavi,flavifrons,2
flav,flavum,2
flavifron,flavifrons,1
fla,flava,19
flavifrons,flavifrons,1
flavif,,nan
f,foliata,8
flavifro,flavifrons,1
r,rio,3
rio,rio,1
ri,,nan
rio,rio,2
ri,,nan
rio,rio,4
ri,,nan
ri,,nan
rio,rio,2
ri,,nan
robertoi,robertoi,1
rober,roberti,5
robe,,nan
roberto,robertoi,8
robe,,nan
r,rio,8
robertoi,robertoi,1
ro,,nan
ro,,nan
robert,roberti,2
la,la,1
laura,laurae,1
laura,laurae,1
laura,laurae,1
lau,,nan
laura,laurae,1
l,longa,5
l,longa,4
laur,,nan
laur,,nan
fur,fur,1
fu,,nan
furcatella,furcatella,1
furca,furca,2
furcate,furcatella,13
furcatel,furcatella,1
f,fusca,1
furcatell,furcatella,2
furc,furcatus,1
furcat,furcata,1
rem,,nan
reme,,nan
remed,,nan
remed,,nan
remediu,remedius,5
remedi,,nan
remedius,remedius,1
re,,nan
re,,nan
remedi,,nan
m,marinae,2
mit,mita,3
mitific,mitificus,1
mitific,mitificus,1
mitifi,mitifica,1
mitifica,mitifica,1
mi,mi,5
mit,mita,4
mitif,,nan
mitifi,mitificus,2
a,ale,2
armatissimu,armatissimus,6
armatiss,armatissima,5
ar,,nan
armatissimus,armatissimus,1
arma,,nan
armatis,,nan
armati,,nan
armat,armata,2
armatissim,armatissimus,1
uzag,,nan
uzaga,uzaga,1
uza,,nan
uza,,nan
uzaga,uzaga,1
uza,,nan
uzaga,uzaga,1
uzaga,uzaga,1
uz,,nan
u,uta,3
bi,,nan
bic,,nan
b,bergi,6
bicurvata,bicurvata,1
bicurvata,bicurvata,1
bicur,,nan
bicu,,nan
bicur,,nan
bicu,,nan
bicur,,nan
signiventr,signiventris,1
signiv,,nan
sig,signata,7
signivent,signiventris,2
signi,,nan
s,scuta,1
signiventris,signiventris,1
sign,signata,1
si,si,1
signiven,signiventris,8
demerara,demerarae,9
demer,,nan
demerarae,demerarae,1
deme,,nan
demerara,demerarae,8
dem,,nan
demer,,nan
demerara,demerarae,9
demerar,,nan
d,dentatus,3
shuquiang,,nan
s,si,5
shuquian,,nan
shu,,nan
shuqui,,nan
shuquiangli,shuquianglii,20
shuquia,,nan
shuqu,,nan
shuquiangl,,nan
sh,shanensis,3
warden,wardeni,4
warden,wardeni,2
w,woodi,7
wardeni,wardeni,1
wardeni,wardeni,1
wardeni,wardeni,1
w,,nan
war,,nan
warden,wardeni,4
wardeni,wardeni,1
i,ida,2
isla,isla,18
islamita,islamita,17
islami,islamita,14
is,,nan
islami,,nan
isla,,nan
isl,isla,8
islam,,nan
islam,,nan
puc,,nan
pucu,,nan
p,pae,2
pucuna,pucuna,1
pucuna,pucuna,1
p,pico,12
pucun,pucuna,19
puc,,nan
puc,,nan
pu,pula,2
misch,mischi,4
mis,,nan
mi,mira,2
m,marinae,5
misch,mischi,1
misch,mischi,1
mis,,nan
mis,,nan
misc,,nan
m,maculatus,1
semicastaneus,semicastaneus,1
semicastane,,nan
semic,,nan
sem,,nan
semicas,,nan
semicastaneu,semicastaneus,1
s,shanensis,1
semica,,nan
semi,,nan
semicastan,,nan
ar,,nan
ara,,nan
ara,,nan
arawak,arawak,3
ar,,nan
arawakan,arawakan,6
araw,arawa,1
arawa,arawa,1
arawak,arawak,2
a,,nan
heizerensi,heizerensis,1
h,harti,7
heizerensis,heizerensis,1
he,,nan
heiz,,nan
hei,,nan
heizere,heizerensis,1
heize,,nan
heizerens,heizerensis,1
heizer,,nan
orph,,nan
orpheu,orpheus,1
orp,,nan
orphe,,nan
or,ora,4
o,osa,1
orp,,nan
orph,,nan
orph,,nan
orp,,nan
hamaens,hamaensis,1
hamaen,hamaensis,1
hama,hama,11
hamaen,hamaensis,1
ham,hamaensis,8
hamaens,hamaensis,1
hamaen,hamaensis,1
ham,,nan
h,heri,10
hamae,,nan
pi,,nan
pi,,nan
pictipe,pictipes,1
pictipes,pictipes,1
picti,pictipes,13
pictipe,pictipes,1
pictipes,pictipes,1
pict,picta,1
pictip,pictipes,1
p,pura,4
torsivoide,torsivoides,1
t,tuberculatus,11
torsivoid,torsivoides,1
torsi,,nan
torsivo,torsivoides,10
tor,,nan
torsivoi,torsivoides,4
tors,,nan
torsivoides,torsivoides,1
torsiv,torsivum,5
nicolas,,nan
nicolas,,nan
n,ngai,4
nicol,,nan
nic,nica,15
nic,nica,4
nicola,,nan
nico,,nan
nicolasi,,nan
nico,,nan
auctif,,nan
auctificus,auctificus,1
au,,nan
a,an,5
auctifi,auctificus,1
auctificu,auctificus,1
aucti,,nan
auc,,nan
auct,,nan
auctific,auctificus,1
m,maculatus,3
melliss,mellissi,1
mellissi,,nan
mellissi,,nan
mellissi,,nan
mellis,,nan
me,merina,16
mell,mellus,6
melli,,nan
mellis,,nan
garrafensis,garrafensis,1
garra,,nan
garrafen,garrafensis,1
ga,,nan
garr,,nan
g,,nan
garraf,garrafensis,6
garrafe,,nan
gar,,nan
garrafensi,garrafensis,1
okor,,nan
okoros,,nan
okorosav,okorosave,4
oko,,nan
okorosav,okorosave,5
okorosav,okorosave,8
okorosa,,nan
okorosa,,nan
okoro,,nan
ok,,nan
anom,,nan
anomid,anomid,20
an,,nan
anomi,,nan
anom,,nan
an,ana,3
anom,,nan
ano,,nan
anomid,anomid,3
ano,,nan
c,chalcea,11
cress,cressa,1
cressa,cressa,1
cr,crica,6
cres,,nan
c,cha,1
cress,cressa,1
cress,cressa,1
cress,cressa,1
cr,crica,1
sin,sinus,5
s,si,5
si,si,1
sino,,nan
si,si,1
sino,,nan
sino,,nan
sinop,,nan
si,si,1
sin,sinus,1
trico,,nan
tricol,,nan
t,topo,7
tricoloripes,tricoloripes,1
tricoloripe,tricoloripes,1
tricolorip,tricoloripes,1
tr,trux,20
tricolori,,nan
tricolor,tricoloratus,1
tri,,nan
rufi,rufi,1
ru,,nan
r,,nan
rufisque,rufisquei,5
ru,,nan
rufi,rufi,5
ruf,rufi,1
ru,,nan
rufisque,rufisquei,1
ruf,rufi,1
scapulat,scapulatus,1
scapula,scapula,1
scapul,scapula,5
sc,,nan
scapulatus,scapulatus,1
scap,,nan
sca,,nan
s,si,4
scapu,,nan
scapulatu,scapulatus,1
matura,,nan
m,maculata,5
maturata,maturata,1
ma,mae,10
ma,,nan
matur,,nan
matur,,nan
matur,,nan
matur,,nan
matu,,nan
cor,,nan
cornifr,cornifrons,1
corn,cornis,1
cornifrons,cornifrons,1
cornifron,cornifrons,1
cornif,,nan
co,cona,8
c,cata,2
corni,cornis,1
cornifro,cornifrons,1
mon,montis,19
monacan,,nan
monacanthu,monacanthum,1
monacanth,,nan
monac,,nan
mo,,nan
mona,mona,1
monacanthum,monacanthum,1
monacant,,nan
m,maku,2
c,chinensis,7
cyanog,,nan
cyanognathus,cyanognathus,1
cyanognat,cyanognatha,1
cyan,,nan
cy,,nan
cyanognath,cyanognathus,1
cyano,,nan
cyanogna,cyanognathus,2
cyanogn,cyanognatha,1
min,minae,14
minus,,nan
m,manni,1
mi,mita,3
minusculu,minusculus,1
minuscu,,nan
minuscul,minuscula,1
minusculus,minusculus,1
minusc,minuscula,1
minu,,nan
ariadnae,ariadnae,1
ariadn,ariadnae,7
aria,,nan
ar,,nan
ariadna,ariadnae,1
ariadnae,ariadnae,1
ariad,,nan
ariadn,ariadnae,4
ari,,nan
a,ata,7
qua,,nan
quadrivulv,,nan
quadr,,nan
quadrivulvat,quadrivulvata,4
quadrivulva,,nan
qu,,nan
quadrivu,,nan
quad,,nan
quadrivulvata,quadrivulvata,1
quadrivul,quadrivulvata,4
vi,vis,5
vis,vis,1
v,vittatus,2
vi,vis,2
vi,vis,11
vi,vis,2
visit,,nan
visite,,nan
visi,,nan
v,vittata,2
d,dongi,7
dag,,nan
dagostin,,nan
dagosti,,nan
da,,nan
dago,,nan
dagostinae,dagostinae,1
dagost,,nan
dagostina,,nan
dagos,,nan
cultri,,nan
cultridens,cultridens,3
cultride,,nan
cultr,,nan
cul,,nan
c,conica,4
cult,culta,2
cultrid,,nan
cu,culta,17
cultriden,cultridens,1
zeb,,nan
zebrin,zebrinus,1
zebrina,zebrina,1
z,,nan
zebrina,zebrina,1
zebrina,zebrina,1
zebrina,zebrina,2
zebrin,zebrinus,1
zeb,,nan
zebrina,zebrina,1
fai,,nan
faisalabadens,faisalabadensis,1
f,fasciae,2
faisalabadensi,faisalabadensis,1
faisal,,nan
faisalabade,faisalabadensis,1
faisalabad,faisalabadensis,9
faisalabaden,faisalabadensis,1
faisa,,nan
fa,,nan
curv,curva,1
curvilinea,curvilineatus,5
curvil,,nan
curvili,,nan
curvilineatu,curvilineatus,1
curvilineatus,curvilineatus,1
curviline,curvilineatus,8
cur,curvata,18
curvi,curvipes,1
cu,,nan
phaeo,,nan
phae,,nan
phaeoch,,nan
ph,,nan
p,,nan
phaeoc,phaeocephalus,1
phaeochor,,nan
phaeocho,,nan
pha,,nan
phaeochorda,phaeochorda,1
crassi,,nan
crassibulb,crassibulba,4
c,chico,12
crassibul,crassibulba,9
crassibu,,nan
cra,,nan
cras,crassa,3
crassib,,nan
crass,crassa,2
crassibulba,crassibulba,1
longicymbiali,longicymbialis,1
longi,longipes,13
l,longa,4
longic,,nan
longicymbia,longicymbia,1
longicymbial,longicymbialis,1
lon,longensis,9
lo,lobatus,3
longicym,,nan
long,longbottomi,7
orin,orina,1
o,opo,18
orine,,nan
ori,orion,3
orin,orina,1
orin,orina,1
o,,nan
o,ocula,8
orine,,nan
orines,orines,1
nig,niger,1
nigricu,nigricula,1
nigricula,nigricula,1
nigr,nigra,2
ni,,nan
nigric,nigricula,1
nigric,nigricula,1
nigricula,nigricula,1
nigr,nigra,2
nigricul,nigricula,1
cor,cor,5
co,,nan
corticeus,corticeus,1
cortic,,nan
corticeu,corticeus,2
corticeus,corticeus,1
c,,nan
c,chilensis,2
corti,cortina,20
corticeus,corticeus,1
dod,,nan
dod,,nan
do,,nan
dod,dodo,13
dodo,,nan
do,dota,9
do,dotata,9
d,dong,10
d,decoratus,8
dodo,,nan
sidel,sidella,7
sidella,sidella,1
sid,,nan
s,shanensis,3
sidel,sidella,1
sidella,sidella,1
sidell,sidella,10
side,,nan
sidell,sidella,1
s,shanensis,10
l,lini,1
lasal,,nan
lasalana,lasalana,1
la,la,1
l,lini,13
la,la,1
las,,nan
lasalan,lasalana,1
las,,nan
lasalana,lasalana,1
flab,,nan
flabellatu,flabellatus,1
fl,,nan
f,fuscus,14
flabellatus,flabellatus,1
flabell,flabelli,1
flabellat,flabellata,1
flabella,flabella,1
flabel,,nan
fla,,nan
anjozor,,nan
anjozoro,,nan
anjoz,,nan
anjozorobe,anjozorobe,1
anjo,anjo,3
a,ana,7
anjozorob,anjozorobe,13
anj,,nan
an,antica,6
anjozo,,nan
evan,,nan
evans,evansi,11
ev,evae,10
evansi,evansi,1
ev,evae,3
evan,,nan
eva,evae,1
ev,evae,2
e,,nan
evan,,nan
dean,,nan
de,,nan
de,,nan
deang,,nan
deang,,nan
d,decoratum,8
dean,,nan
deangia,deangia,1
dea,dea,1
dea,dea,1
seve,,nan
sevegn,,nan
sevegnaniae,sevegnaniae,1
se,seri,3
sevegna,,nan
s,sibirica,4
sevegnan,,nan
sev,,nan
sevegnania,sevegnaniae,1
seveg,,nan
rubripl,,nan
rubriple,,nan
r,randa,17
rubrip,rubripes,2
ru,,nan
rub,rubus,7
rubri,,nan
rubripleur,rubripleura,1
rubr,rubra,9
rubripleura,rubripleura,1
watari,watari,1
w,wan,5
wa,wa,1
wat,,nan
watari,watari,1
watarii,watarii,1
watar,watari,2
watarii,watarii,1
watarii,watarii,1
watarii,watarii,1
p,punctatus,10
pseudoferrugine,pseudoferruginea,1
pseu,,nan
pse,,nan
pseudofe,,nan
pseudoferrugin,pseudoferruginea,7
pseudoferrugi,pseudoferruginea,1
pseudoferrug,,nan
pseudo,,nan
pseudof,,nan
vainuia,vainuia,1
va,,nan
vainuia,vainuia,1
vainui,,nan
vainu,,nan
v,vali,5
vainuia,vainuia,1
va,,nan
va,,nan
vainuia,vainuia,1
alpi,,nan
alpig,,nan
al,ala,1
alpigen,alpigena,5
alpigenoi,alpigenoides,1
alpige,,nan
alpigeno,alpigenoides,2
a,albicola,9
alp,alpina,1
alpigenoides,alpigenoides,1
rastru,rastrum,14
r,rai,2
rast,,nan
ras,ras,1
rastrum,rastrum,1
rastrum,rastrum,1
rast,,nan
r,rica,3
ra,,nan
rast,,nan
paucisp,paucispina,1
pauc,pauculus,20
pauci,,nan
p,punctatus,7
paucispina,paucispina,1
pau,pau,2
pa,,nan
paucispi,paucispina,2
paucis,,nan
paucispin,paucispina,3
hip,,nan
hip,,nan
hip,,nan
hippi,,nan
hippie,,nan
hippi,hippie,15
hipp,,nan
h,,nan
h,huangshanensis,8
hippie,hippie,5
b,bai,7
bal,,nan
baline,,nan
b,bruno,1
balin,,nan
bali,bali,2
ba,bani,1
bali,bali,3
b,bergi,19
baline,balinensis,4
l,lea,1
laniu,lanius,1
lani,,nan
laniu,lanius,1
laniu,lanius,1
la,la,1
laniu,lanius,1
laniu,lanius,1
la,la,2
lan,langensis,2
lyug,,nan
lyugadinu,lyugadinus,1
l,liana,1
lyugadin,lyugadinus,17
lyuga,,nan
ly,,nan
lyugad,,nan
lyugadinus,lyugadinus,1
lyu,,nan
lyugadi,,nan
tenebrosus,tenebrosus,1
tenebro,tenebrosa,1
ten,,nan
te,tena,14
tenebr,tenebricus,1
tene,tenella,14
teneb,,nan
t,,nan
tenebrosu,tenebrosus,1
tenebros,tenebrosus,1
guangxicu,guangxicus,1
guangxic,guangxicus,1
gu,gus,3
g,gatoi,16
gua,,nan
guangx,guangxi,1
guangxi,guangxi,1
guangxicus,guangxicus,1
guan,guan,2
guang,,nan
s,si,3
sa,sana,1
sara,sarae,2
sarahcrewsae,sarahcrewsae,1
sarahc,,nan
sarahcrew,sarahcrewsae,3
sarahcr,,nan
sarahcrews,sarahcrewsae,15
sarahcre,,nan
sar,,nan
cuneatu,cuneatus,1
cun,,nan
cun,,nan
cu,,nan
cunea,,nan
c,chinensis,2
cunea,,nan
cune,,nan
cune,,nan
cuneatus,cuneatus,1
coottha,coottha,1
coott,,nan
coo,,nan
co,cona,5
c,cheni,13
cootth,coottha,1
cootth,coottha,1
coo,cooma,8
coott,,nan
cootth,coottha,1
blanc,blanci,6
bl,,nan
bl,,nan
blanc,blanci,13
bla,,nan
bla,blasi,13
bla,,nan
blanco,,nan
b,bargi,8
b,bergi,9
valqu,,nan
va,,nan
valquiri,valquiria,4
valq,,nan
valquir,,nan
valqu,,nan
val,vali,1
valquiri,,nan
va,,nan
v,vis,1
lacte,,nan
lac,,nan
lact,lacta,2
lac,,nan
la,la,2
lacteus,lacteus,1
lacteus,lacteus,1
lacteus,lacteus,1
lacte,lacteus,6
l,lobata,1
consuelo,consuelo,2
consue,,nan
con,cona,4
c,cheni,1
consuel,,nan
consuelo,consuelo,1
consuelo,consuelo,1
co,,nan
cons,,nan
con,cona,10
schubo,,nan
sc,,nan
schub,,nan
schubotzi,schubotzi,1
sch,,nan
sc,,nan
sc,,nan
schubotzi,schubotzi,1
schubo,,nan
sc,,nan
dep,,nan
depunct,,nan
depunc,,nan
d,dongi,1
de,,nan
depunct,depuncta,20
de,,nan
dep,,nan
de,,nan
depunct,depuncta,12
yacuiens,yacuiensis,2
yacuiensis,yacuiensis,1
yacuien,yacuiensis,1
yacuiensi,yacuiensis,1
y,yi,2
yacuie,yacuiensis,1
yacui,yacui,1
ya,,nan
yacu,,nan
yac,,nan
kopo,,nan
koponeni,koponeni,1
kopon,,nan
kopone,,nan
kopon,,nan
kopon,,nan
kopo,,nan
kop,,nan
kopone,,nan
k,kaala,5
per,,nan
per,,nan
pe,,nan
p,pitus,1
perc,,nan
pe,,nan
pe,,nan
percy,,nan
perc,,nan
per,perus,2
dunstani,dunstani,3
dunstani,dunstani,1
dunsta,dunstani,3
dun,,nan
dunstani,dunstani,2
dun,,nan
dunst,dunstani,4
dun,,nan
d,dentata,2
dun,,nan
fuscoma,fuscomaculatum,3
fusco,fuscovittata,10
fuscomaculatum,fuscomaculatum,1
fuscomacul,,nan
fuscom,,nan
fuscomaculatu,,nan
fuscomac,fuscomaculatum,2
fuscomacu,fuscomaculatum,14
fuscomacula,fuscomaculatum,16
fuscomaculat,,nan
st,,nan
str,,nan
strab,,nan
stra,stratus,7
stra,,nan
s,saba,10
strab,,nan
straba,straba,2
strab,straba,18
str,,nan
palik,,nan
palikea,palikea,1
palikea,palikea,4
p,peteri,7
pal,pala,7
pa,pana,8
pal,pala,13
pa,pali,8
palike,palikea,13
pal,pala,1
xiq,,nan
xiquanens,xiquanensis,1
xiqua,,nan
xiqu,,nan
xi,,nan
xiquane,xiquanensis,1
xiquanen,xiquanensis,1
xiquanensis,xiquanensis,1
x,xianensis,9
xiquanensi,xiquanensis,1
zang,,nan
zanghe,,nan
zan,,nan
zan,,nan
zan,,nan
zang,,nan
zangherii,zangherii,1
zang,,nan
zang,,nan
zang,,nan
trima,,nan
trim,,nan
tr,,nan
tri,,nan
tri,,nan
t,tensa,8
t,tuberculatus,5
trima,,nan
tr,trux,3
t,toro,18
coe,,nan
c,cha,7
c,cha,3
coen,,nan
c,cha,2
coeno,,nan
coe,,nan
coeno,,nan
coenosa,coenosa,1
coeno,,nan
simoni,simoni,1
si,si,1
simonis,simonis,1
simonis,simonis,1
simoni,simoni,1
simoni,simoni,1
simo,simoi,2
simon,simoni,13
si,si,1
sim,sima,1
b,bergi,1
bimucronatu,bimucronatus,1
